Altium Designer Pick and Place Locations
C:\Users\wacker\AppData\Local\TempReleases\Snapshot\1\Assembly\pnp-data\Pick Place for foxbms2-interface-ltc6820.txt

========================================================================================================================
File Design Information:

Date:       11.11.21
Time:       15:27
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator    Comment                   Layer       Footprint                   Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                          Height(mm) 
C200_1        100n/50V                  BottomLayer CAPC1608X08N                14.7638      51.7525      0        MLCC                                                                                                                                                 0.8000     
C200_2        100n/50V                  BottomLayer CAPC1608X08N                31.2738      51.7525      0        MLCC                                                                                                                                                 0.8000     
C200_3        100n/50V                  BottomLayer CAPC1608X08N                47.9425      51.7525      0        MLCC                                                                                                                                                 0.8000     
C200_4        100n/50V                  BottomLayer CAPC1608X08N                64.4525      51.7525      0        MLCC                                                                                                                                                 0.8000     
C201_1        100n/50V                  BottomLayer CAPC1608X08N                17.1450      56.5150      90       MLCC                                                                                                                                                 0.8000     
C201_2        100n/50V                  BottomLayer CAPC1608X08N                33.6550      56.5150      90       MLCC                                                                                                                                                 0.8000     
C201_3        100n/50V                  BottomLayer CAPC1608X08N                50.3238      56.5150      90       MLCC                                                                                                                                                 0.8000     
C201_4        100n/50V                  BottomLayer CAPC1608X08N                66.8338      56.5150      90       MLCC                                                                                                                                                 0.8000     
C300_1        10n/50V                   BottomLayer CAPC1608X08N                13.1763      46.1963      270      MLCC                                                                                                                                                 0.8000     
C300_2        10n/50V                   BottomLayer CAPC1608X08N                29.6863      46.1963      270      MLCC                                                                                                                                                 0.8000     
C300_3        10n/50V                   BottomLayer CAPC1608X08N                46.3550      46.1963      270      MLCC                                                                                                                                                 0.8000     
C300_4        10n/50V                   BottomLayer CAPC1608X08N                62.8650      46.1963      270      MLCC                                                                                                                                                 0.8000     
C301_1        10n/50V                   BottomLayer CAPC1608X08N                13.1763      42.8625      270      MLCC                                                                                                                                                 0.8000     
C301_2        10n/50V                   BottomLayer CAPC1608X08N                29.6863      42.8625      270      MLCC                                                                                                                                                 0.8000     
C301_3        10n/50V                   BottomLayer CAPC1608X08N                46.3550      42.8625      270      MLCC                                                                                                                                                 0.8000     
C301_4        10n/50V                   BottomLayer CAPC1608X08N                62.8650      42.8625      270      MLCC                                                                                                                                                 0.8000     
J100          ERF8-020-05.0-L-DV-K      BottomLayer SAMTEC_ERF8-020-05.0-L-DV-K 20.0000      115.0000     180      "Edge Rate rugged high-speed connector strips"                                                                                                       5.3300     
J101          molex_microfit_3_01x2_THT TopLayer    MOLEX_MICROFIT_01x2_THT     16.0000      6.1575       180      "Micro-Fit 3.0 Right Angle Header, 3.00mm Pitch, Dual Row, 2 Circuits, with Snap-in Plastic Peg PCB Lock, Tin, Glow Wire Capable, Black, 43045-0200" 8.7630     
J102          molex_microfit_3_01x2_THT TopLayer    MOLEX_MICROFIT_01x2_THT     29.0000      6.1575       180      "Micro-Fit 3.0 Right Angle Header, 3.00mm Pitch, Dual Row, 2 Circuits, with Snap-in Plastic Peg PCB Lock, Tin, Glow Wire Capable, Black, 43045-0200" 8.7630     
J103          molex_microfit_3_01x2_THT TopLayer    MOLEX_MICROFIT_01x2_THT     41.0000      6.1575       180      "Micro-Fit 3.0 Right Angle Header, 3.00mm Pitch, Dual Row, 2 Circuits, with Snap-in Plastic Peg PCB Lock, Tin, Glow Wire Capable, Black, 43045-0200" 8.7630     
J104          molex_microfit_3_01x2_THT TopLayer    MOLEX_MICROFIT_01x2_THT     54.0000      6.1575       180      "Micro-Fit 3.0 Right Angle Header, 3.00mm Pitch, Dual Row, 2 Circuits, with Snap-in Plastic Peg PCB Lock, Tin, Glow Wire Capable, Black, 43045-0200" 8.7630     
MP102         WE_9774140360R            BottomLayer WE_9774140360               65.0000      5.0000       180      "WA-SMSI SMT Steel Spacer with internal thread M 3"                                                                                                  14.0000    
MP103         WE_9774140360R            BottomLayer WE_9774140360               65.0000      115.0000     180      "WA-SMSI SMT Steel Spacer with internal thread M 3"                                                                                                  14.0000    
MP104         WE_9774140360R            BottomLayer WE_9774140360               5.0000       115.0000     180      "WA-SMSI SMT Steel Spacer with internal thread M 3"                                                                                                  14.0000    
MP105         WE_9774140360R            BottomLayer WE_9774140360               5.0000       15.0000      180      "WA-SMSI SMT Steel Spacer with internal thread M 3"                                                                                                  14.0000    
R200_1        10k                       BottomLayer RESC1608X05N                10.9538      63.3413      90       "SMD Resistor 10k 0603"                                                                                                                              0.4500     
R200_2        10k                       BottomLayer RESC1608X05N                27.4638      63.3413      90       "SMD Resistor 10k 0603"                                                                                                                              0.4500     
R200_3        10k                       BottomLayer RESC1608X05N                44.1325      63.3413      90       "SMD Resistor 10k 0603"                                                                                                                              0.4500     
R200_4        10k                       BottomLayer RESC1608X05N                60.6425      63.3413      90       "SMD Resistor 10k 0603"                                                                                                                              0.4500     
R201_1        2k                        BottomLayer RESC1608X05N                11.7475      60.8013      180      "SMD Resistor 2k 0603"                                                                                                                               0.4500     
R201_2        2k                        BottomLayer RESC1608X05N                28.2575      60.8013      180      "SMD Resistor 2k 0603"                                                                                                                               0.4500     
R201_3        2k                        BottomLayer RESC1608X05N                44.9263      60.8013      180      "SMD Resistor 2k 0603"                                                                                                                               0.4500     
R201_4        2k                        BottomLayer RESC1608X05N                61.4363      60.8013      180      "SMD Resistor 2k 0603"                                                                                                                               0.4500     
R202_1        806R                      BottomLayer RESC1608X05N                11.9063      51.7525      180      "SMD Resistor 806R 0603"                                                                                                                             0.4500     
R202_2        806R                      BottomLayer RESC1608X05N                28.4163      51.7525      180      "SMD Resistor 806R 0603"                                                                                                                             0.4500     
R202_3        806R                      BottomLayer RESC1608X05N                45.0850      51.7525      180      "SMD Resistor 806R 0603"                                                                                                                             0.4500     
R202_4        806R                      BottomLayer RESC1608X05N                61.5950      51.7525      180      "SMD Resistor 806R 0603"                                                                                                                             0.4500     
R203_1        1k2                       BottomLayer RESC1608X05N                11.9063      50.1650      180      "SMD Resistor 1k2 0603"                                                                                                                              0.4500     
R203_2        1k2                       BottomLayer RESC1608X05N                28.4163      50.1650      180      "SMD Resistor 1k2 0603"                                                                                                                              0.4500     
R203_3        1k2                       BottomLayer RESC1608X05N                45.0850      50.1650      180      "SMD Resistor 1k2 0603"                                                                                                                              0.4500     
R203_4        1k2                       BottomLayer RESC1608X05N                61.5950      50.1650      180      "SMD Resistor 1k2 0603"                                                                                                                              0.4500     
R204_1        10k                       BottomLayer RESC1608X05N                16.1925      61.4363      270      "SMD Resistor 10k 0603"                                                                                                                              0.4500     
R204_2        10k                       BottomLayer RESC1608X05N                32.7025      61.4363      270      "SMD Resistor 10k 0603"                                                                                                                              0.4500     
R204_3        10k                       BottomLayer RESC1608X05N                49.3713      61.4363      270      "SMD Resistor 10k 0603"                                                                                                                              0.4500     
R204_4        10k                       BottomLayer RESC1608X05N                65.8813      61.4363      270      "SMD Resistor 10k 0603"                                                                                                                              0.4500     
R205_1        10k                       BottomLayer RESC1608X05N                14.6050      61.4363      270      "SMD Resistor 10k 0603"                                                                                                                              0.4500     
R205_2        10k                       BottomLayer RESC1608X05N                31.1150      61.4363      270      "SMD Resistor 10k 0603"                                                                                                                              0.4500     
R205_3        10k                       BottomLayer RESC1608X05N                47.7838      61.4363      270      "SMD Resistor 10k 0603"                                                                                                                              0.4500     
