Altium Designer Pick and Place Locations
C:\Users\schwarz\AppData\Local\TempReleases\Snapshot\2\Assembly production\pnp-data\foxbms2-master-pnp-data-v1.1.5.txt

========================================================================================================================
File Design Information:

Date:       25-10-22
Time:       11:51
Revision:   Not in VersionControl
Variant:    production
Units used: mm

Designator  Comment                    Layer    Footprint                     Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                          Height(mm) 
BT6400      SMTU_1225-1-LF             TopLayer SMTU_1225-1-LF                47.9425      99.6950      0        "SMTU 1225-1-LF, Battery Holder 1225"                                                                                                                5.0000     
C1100       22u/10V                    TopLayer CAPC3216X18N                  194.7863     59.3725      0        MLCC                                                                                                                                                 1.8000     
C1101       22u/10V                    TopLayer CAPC3216X18N                  194.7863     42.5450      0        MLCC                                                                                                                                                 1.8000     
C1102       100n/50V                   TopLayer CAPC1005X06N                  194.7863     57.6263      0        MLCC                                                                                                                                                 0.5500     
C1115       100n/50V                   TopLayer CAPC1005X06N                  194.7863     44.2913      0        MLCC                                                                                                                                                 0.5500     
C1200       10u/16V                    TopLayer CAPC2012X14N                  185.7375     64.9288      180      MLCC                                                                                                                                                 1.4500     
C1201       10n/25V                    TopLayer CAPC1005X06N                  185.7375     66.5163      180      MLCC                                                                                                                                                 0.5500     
C1202       1u/50V                     TopLayer CAPC1608X08N                  185.7375     67.9450      180      MLCC                                                                                                                                                 0.8000     
C1203       100n/50V                   TopLayer CAPC1005X06N                  185.4200     69.3738      180      MLCC                                                                                                                                                 0.5500     
C1204       1u/50V                     TopLayer CAPC1608X08N                  184.3088     82.5500      0        MLCC                                                                                                                                                 0.8000     
C1205       100n/50V                   TopLayer CAPC1005X06N                  184.3088     81.1213      0        MLCC                                                                                                                                                 0.5500     
C1206       1u/50V                     TopLayer CAPC1608X08N                  190.8175     72.7075      90       MLCC                                                                                                                                                 0.8000     
C1207       100n/50V                   TopLayer CAPC1005X06N                  189.3888     72.7075      90       MLCC                                                                                                                                                 0.5500     
C1208       10u/16V                    TopLayer CAPC2012X14N                  187.1663     85.5663      180      MLCC                                                                                                                                                 1.4500     
C1209       10n/25V                    TopLayer CAPC1005X06N                  187.1663     83.9788      180      MLCC                                                                                                                                                 0.5500     
C1210       1u/50V                     TopLayer CAPC1608X08N                  181.4850     82.5500      0        MLCC                                                                                                                                                 0.8000     
C1211       100n/50V                   TopLayer CAPC1005X06N                  181.4850     81.1213      0        MLCC                                                                                                                                                 0.5500     
C1212       1u/50V                     TopLayer CAPC1608X08N                  187.1663     82.5500      180      MLCC                                                                                                                                                 0.8000     
C1213       100n/50V                   TopLayer CAPC1005X06N                  187.1663     81.1213      180      MLCC                                                                                                                                                 0.5500     
C1214       10u/16V                    TopLayer CAPC2012X14N                  173.8313     75.2475      90       MLCC                                                                                                                                                 1.4500     
C1215       10n/25V                    TopLayer CAPC1005X06N                  175.4188     75.2475      90       MLCC                                                                                                                                                 0.5500     
C1216       1u/50V                     TopLayer CAPC1608X08N                  177.4825     75.2475      90       MLCC                                                                                                                                                 0.8000     
C1217       100n/50V                   TopLayer CAPC1005X06N                  178.9113     75.2475      90       MLCC                                                                                                                                                 0.5500     
C1218       1u/50V                     TopLayer CAPC1608X08N                  182.8800     67.9450      0        MLCC                                                                                                                                                 0.8000     
C1219       100n/50V                   TopLayer CAPC1005X06N                  183.1975     69.3738      0        MLCC                                                                                                                                                 0.5500     
C1220       100n/50V                   TopLayer CAPC1005X06N                  186.6900     88.1063      90       MLCC                                                                                                                                                 0.5500     
C1221       100n/50V                   TopLayer CAPC1005X06N                  193.0400     88.1063      90       MLCC                                                                                                                                                 0.5500     
C1222       100n/50V                   TopLayer CAPC1005X06N                  173.0375     88.1063      90       MLCC                                                                                                                                                 0.5500     
C1223       100n/50V                   TopLayer CAPC1005X06N                  179.3875     88.1063      90       MLCC                                                                                                                                                 0.5500     
C1224       1n/3000V                   TopLayer CAPC2220(5750)230_N           166.2113     94.7740      90       MLCC                                                                                                                                                 2.3000     
C1600       1u/50V                     TopLayer CAPC1608X08N                  158.1150     39.3700      180      MLCC                                                                                                                                                 0.8000     
C1601       1u/50V                     TopLayer CAPC1608X08N                  165.4863     45.0850      0        MLCC                                                                                                                                                 0.8000     
C1602       100n/50V                   TopLayer CAPC1005X06N                  167.3225     40.3225      90       MLCC                                                                                                                                                 0.5500     
C1603       4u7/25V                    TopLayer CAPC2012X14N                  159.8613     36.6713      90       MLCC                                                                                                                                                 1.4500     
C1604       220n/35V                   TopLayer CAPC1005X06N                  159.0675     41.4675      270      MLCC                                                                                                                                                 0.5500     
C3000       100n/50V                   TopLayer CAPC1005X06N                  132.5563     53.1813      0        MLCC                                                                                                                                                 0.5500     
C4344       1u/50V                     TopLayer CAPC1608X08N                  114.7763     56.6738      270      MLCC                                                                                                                                                 0.8000     
C4345       100n/50V                   TopLayer CAPC1005X06N                  114.7763     54.1338      90       MLCC                                                                                                                                                 0.5500     
C4346       100n/50V                   TopLayer CAPC1005X06N                  121.7613     54.2588      90       MLCC                                                                                                                                                 0.5500     
C4347       1u/50V                     TopLayer CAPC1608X08N                  121.7613     56.6738      270      MLCC                                                                                                                                                 0.8000     
C4400       150p/50V                   TopLayer CAPC1005X06N                  138.5888     25.5588      180      MLCC                                                                                                                                                 0.5500     
C4401       150p/50V                   TopLayer CAPC1005X06N                  136.3663     28.2575      270      MLCC                                                                                                                                                 0.5500     
C5000       22u/10V                    TopLayer CAPC3216X18N                  145.0975     78.8988      180      MLCC                                                                                                                                                 1.8000     
C5001       22u/10V                    TopLayer CAPC3216X18N                  143.6625     53.8162      0        MLCC                                                                                                                                                 1.8000     
C5002       22u/10V                    TopLayer CAPC3216X18N                  131.1275     67.7863      270      MLCC                                                                                                                                                 1.8000     
C5003       100n/50V                   TopLayer CAPC1005X06N                  156.3688     67.3100      90       MLCC                                                                                                                                                 0.5500     
C5004       100n/50V                   TopLayer CAPC1005X06N                  143.6625     55.5625      0        MLCC                                                                                                                                                 0.5500     
C5005       100n/50V                   TopLayer CAPC1005X06N                  145.0975     77.1525      180      MLCC                                                                                                                                                 0.5500     
C5006       100n/50V                   TopLayer CAPC1005X06N                  132.8738     67.7863      270      MLCC                                                                                                                                                 0.5500     
C5007       22u/10V                    TopLayer CAPC3216X18N                  145.0975     83.3438      0        MLCC                                                                                                                                                 1.8000     
C5008       100n/50V                   TopLayer CAPC1005X06N                  145.0975     81.1213      270      MLCC                                                                                                                                                 0.5500     
C5009       10n/25V                    TopLayer CAPC1005X06N                  143.9863     81.1213      270      MLCC                                                                                                                                                 0.5500     
C5010       22u/10V                    TopLayer CAPC3216X18N                  138.5888     83.3438      180      MLCC                                                                                                                                                 1.8000     
C5011       100n/50V                   TopLayer CAPC1005X06N                  138.5888     81.1213      270      MLCC                                                                                                                                                 0.5500     
C5012       10n/25V                    TopLayer CAPC1005X06N                  139.7000     81.1213      270      MLCC                                                                                                                                                 0.5500     
C5013       22u/10V                    TopLayer CAPC3216X18N                  161.6075     67.3100      270      MLCC                                                                                                                                                 1.8000     
C5014       100n/50V                   TopLayer CAPC1005X06N                  159.8613     67.3100      270      MLCC                                                                                                                                                 0.5500     
C5015       100n/50V                   TopLayer CAPC1005X06N                  136.2075     81.1213      270      MLCC                                                                                                                                                 0.5500     
C5016       22u/10V                    TopLayer CAPC3216X18N                  133.8262     55.2450      0        MLCC                                                                                                                                                 1.8000     
C5017       22u/10V                    TopLayer CAPC3216X18N                  158.1150     67.3100      90       MLCC                                                                                                                                                 1.8000     
C5018       22u/10V                    TopLayer CAPC3216X18N                  155.0988     78.7400      180      MLCC                                                                                                                                                 1.8000     
C5019       22u/10V                    TopLayer CAPC3216X18N                  160.6550     57.6263      90       MLCC                                                                                                                                                 1.8000     
C5020       22u/10V                    TopLayer CAPC3216X18N                  131.6037     77.3113      270      MLCC                                                                                                                                                 1.8000     
C5021       100n/50V                   TopLayer CAPC1005X06N                  133.3500     77.3113      270      MLCC                                                                                                                                                 0.5500     
C5022       100n/50V                   TopLayer CAPC1005X06N                  134.4613     77.3113      270      MLCC                                                                                                                                                 0.5500     
C5023       100n/50V                   TopLayer CAPC1005X06N                  157.7975     57.6263      90       MLCC                                                                                                                                                 0.5500     
C5024       100n/50V                   TopLayer CAPC1005X06N                  133.8262     56.9913      0        MLCC                                                                                                                                                 0.5500     
C5025       100n/50V                   TopLayer CAPC1005X06N                  133.8262     58.1025      0        MLCC                                                                                                                                                 0.5500     
C5026       100n/50V                   TopLayer CAPC1005X06N                  155.0988     76.9938      180      MLCC                                                                                                                                                 0.5500     
C5027       100n/50V                   TopLayer CAPC1005X06N                  155.0988     75.8825      180      MLCC                                                                                                                                                 0.5500     
C5028       100n/50V                   TopLayer CAPC1005X06N                  158.9088     57.6263      90       MLCC                                                                                                                                                 0.5500     
C6100       100n/50V                   TopLayer CAPC1005X06N                  164.1475     66.6750      270      MLCC                                                                                                                                                 0.5500     
C6101       100n/50V                   TopLayer CAPC1005X06N                  149.5425     36.6713      270      MLCC                                                                                                                                                 0.5500     
C6200       1u/50V                     TopLayer CAPC1608X08N                  135.5725     102.8700     180      MLCC                                                                                                                                                 0.8000     
C6201       100n/50V                   TopLayer CAPC1005X06N                  135.5725     101.4413     180      MLCC                                                                                                                                                 0.5500     
C6202       100n/50V                   TopLayer CAPC1005X06N                  142.0813     94.7738      90       MLCC                                                                                                                                                 0.5500     
C6203       1u/50V                     TopLayer CAPC1608X08N                  121.6025     94.6150      0        MLCC                                                                                                                                                 0.8000     
C6204       100n/50V                   TopLayer CAPC1005X06N                  121.6025     93.1863      0        MLCC                                                                                                                                                 0.5500     
C6205       1u/50V                     TopLayer CAPC1608X08N                  121.4438     104.1400     0        MLCC                                                                                                                                                 0.8000     
C6206       100n/50V                   TopLayer CAPC1005X06N                  121.4438     102.7113     0        MLCC                                                                                                                                                 0.5500     
C6400       100n/50V                   TopLayer CAPC1005X06N                  53.6575      88.2650      0        MLCC                                                                                                                                                 0.5500     
C6401       100n/50V                   TopLayer CAPC1005X06N                  58.1025      88.1063      180      MLCC                                                                                                                                                 0.5500     
C6402       10u/16V                    TopLayer CAPC2012X14N                  53.6575      89.8525      0        MLCC                                                                                                                                                 1.4500     
C6403       100n/50V                   TopLayer CAPC1005X06N                  58.1025      86.8363      180      MLCC                                                                                                                                                 0.5500     
C6500       100n/50V                   TopLayer CAPC1005X06N                  66.9925      83.0263      270      MLCC                                                                                                                                                 0.5500     
C6600       100n/50V                   TopLayer CAPC1005X06N                  175.2600     58.1025      180      MLCC                                                                                                                                                 0.5500     
C6601       47n/50V                    TopLayer CAPC1005X06N                  170.4975     53.9750      90       MLCC                                                                                                                                                 0.5500     
C6602       22n/50V                    TopLayer CAPC1005X06N                  171.6088     53.9750      90       MLCC                                                                                                                                                 0.5500     
C6603       27p/50V                    TopLayer CAPC1608X08N                  179.5463     53.9750      90       MLCC                                                                                                                                                 0.8000     
C6604       22n/50V                    TopLayer CAPC1005X06N                  170.9738     55.8800      0        MLCC                                                                                                                                                 0.5500     
C6605       100n/50V                   TopLayer CAPC1005X06N                  171.4500     50.3238      270      MLCC                                                                                                                                                 0.5500     
C6606       1u/50V                     TopLayer CAPC1608X08N                  179.2288     50.8000      270      MLCC                                                                                                                                                 0.8000     
C7000       100n/100V                  TopLayer CAPC1608X08N                  23.6538      14.6050      90       MLCC                                                                                                                                                 0.8000     
C7001       10n/25V                    TopLayer CAPC1005X06N                  133.9850     81.1213      270      MLCC                                                                                                                                                 0.5500     
C7200       8n2/50V                    TopLayer CAPC1608X08N                  100.1713     58.4200      0        MLCC                                                                                                                                                 0.8000     
C7201       150p/50V                   TopLayer CAPC1005X06N                  97.7900      59.5313      0        MLCC                                                                                                                                                 0.5500     
C7202       5n1/50V                    TopLayer CAPC1608X08N                  60.0075      58.4200      0        MLCC                                                                                                                                                 0.8000     
C7203       100p/200V                  TopLayer CAPC1005X06N                  57.6263      59.5313      0        MLCC                                                                                                                                                 0.5500     
C8000       22n/50V                    TopLayer CAPC1005X06N                  152.0825     27.6225      90       MLCC                                                                                                                                                 0.5500     
C8001       22n/50V                    TopLayer CAPC1005X06N                  149.8600     27.6225      90       MLCC                                                                                                                                                 0.5500     
C8002       22n/50V                    TopLayer CAPC1005X06N                  154.3050     27.6225      90       MLCC                                                                                                                                                 0.5500     
C8003       100n/50V                   TopLayer CAPC1005X06N                  145.2563     19.3675      270      MLCC                                                                                                                                                 0.5500     
C8004       22n/50V                    TopLayer CAPC1005X06N                  159.0675     18.0975      180      MLCC                                                                                                                                                 0.5500     
C8005       22n/50V                    TopLayer CAPC1005X06N                  156.5275     27.6225      90       MLCC                                                                                                                                                 0.5500     
C8006       10u/16V                    TopLayer CAPC2012X14N                  155.0988     22.5425      90       MLCC                                                                                                                                                 1.4500     
C8007       100n/50V                   TopLayer CAPC1005X06N                  156.6863     22.5425      90       MLCC                                                                                                                                                 0.5500     
C8008       10u/16V                    TopLayer CAPC2012X14N                  160.6550     28.7338      90       MLCC                                                                                                                                                 1.4500     
C8009       100n/50V                   TopLayer CAPC1005X06N                  162.2425     28.7338      90       MLCC                                                                                                                                                 0.5500     
C8010       22n/50V                    TopLayer CAPC1005X06N                  166.8463     24.2888      180      MLCC                                                                                                                                                 0.5500     
C8011       22n/50V                    TopLayer CAPC1005X06N                  164.6238     24.2888      180      MLCC                                                                                                                                                 0.5500     
C8012       10u/16V                    TopLayer CAPC2012X14N                  143.6687     19.3675      270      MLCC                                                                                                                                                 1.4500     
C8013       22n/50V                    TopLayer CAPC1005X06N                  165.8938     33.1788      180      MLCC                                                                                                                                                 0.5500     
C8014       22n/50V                    TopLayer CAPC1005X06N                  162.2425     32.7288      90       MLCC                                                                                                                                                 0.5500     
C1103_1     100n/100V                  TopLayer CAPC1608X08N                  174.1488     35.4013      0        MLCC                                                                                                                                                 0.8000     
C1103_2     100n/100V                  TopLayer CAPC1608X08N                  189.5475     29.5275      0        MLCC                                                                                                                                                 0.8000     
C1104_1     1u/100V                    TopLayer CAPC3216X18N                  173.5138     31.4325      0        MLCC                                                                                                                                                 1.8000     
C1104_2     1u/100V                    TopLayer CAPC3216X18N                  188.9125     25.5588      0        MLCC                                                                                                                                                 1.8000     
C1105_1     10u/100V                   TopLayer CAPC5750X28N                  174.1488     26.3525      90       MLCC                                                                                                                                                 2.8000     
C1105_2     10u/100V                   TopLayer CAPC5750X28N                  189.5475     20.4788      90       MLCC                                                                                                                                                 2.8000     
C1106_1     4n7/50V                    TopLayer CAPC1005X06N                  180.8163     31.7500      0        MLCC                                                                                                                                                 0.5500     
C1106_2     4n7/50V                    TopLayer CAPC1005X06N                  196.2150     25.8763      0        MLCC                                                                                                                                                 0.5500     
C1107_1     10u/16V                    TopLayer CAPC2012X14N                  170.8150     45.8787      90       MLCC                                                                                                                                                 1.4500     
C1107_2     10u/16V                    TopLayer CAPC2012X14N                  186.2138     40.0050      90       MLCC                                                                                                                                                 1.4500     
C1108_1     1u/50V                     TopLayer CAPC1608X08N                  173.3550     46.0375      0        MLCC                                                                                                                                                 0.8000     
C1108_2     1u/50V                     TopLayer CAPC1608X08N                  188.7538     40.1638      0        MLCC                                                                                                                                                 0.8000     
C1109_1     100n/50V                   TopLayer CAPC1005X06N                  173.6725     44.6088      0        MLCC                                                                                                                                                 0.5500     
C1109_2     100n/50V                   TopLayer CAPC1005X06N                  189.0713     38.7350      0        MLCC                                                                                                                                                 0.5500     
C1110_1     10u/16V                    TopLayer CAPC2012X14N                  175.7363     45.8787      90       MLCC                                                                                                                                                 1.4500     
C1110_2     10u/16V                    TopLayer CAPC2012X14N                  191.1350     40.0050      90       MLCC                                                                                                                                                 1.4500     
C1111_1     1u/50V                     TopLayer CAPC1608X08N                  178.1175     46.0375      180      MLCC                                                                                                                                                 0.8000     
C1111_2     1u/50V                     TopLayer CAPC1608X08N                  193.5163     40.1638      180      MLCC                                                                                                                                                 0.8000     
C1112_1     100n/50V                   TopLayer CAPC1005X06N                  177.8000     44.6088      180      MLCC                                                                                                                                                 0.5500     
C1112_2     100n/50V                   TopLayer CAPC1005X06N                  193.1988     38.7350      180      MLCC                                                                                                                                                 0.5500     
C4500_1     100µF/63V                  TopLayer ELECTROLYTIC_CAP_PANASONIC_G  60.6425      33.1788      270      "SMD Electrolytic Capacitor"                                                                                                                         10.5000    
C4500_2     100µF/63V                  TopLayer ELECTROLYTIC_CAP_PANASONIC_G  104.6163     33.1788      270      "SMD Electrolytic Capacitor"                                                                                                                         10.5000    
C4501_1     100n/100V                  TopLayer CAPC1608X08N                  53.9750      31.2738      90       MLCC                                                                                                                                                 0.8000     
C4501_2     100n/100V                  TopLayer CAPC1608X08N                  97.9488      31.2738      90       MLCC                                                                                                                                                 0.8000     
C4502_1     10n/100V                   TopLayer CAPC1608X08N                  46.0375      24.4475      180      MLCC                                                                                                                                                 0.8000     
C4502_2     10n/100V                   TopLayer CAPC1608X08N                  90.0113      24.4475      180      MLCC                                                                                                                                                 0.8000     
C4503_1     100n/50V                   TopLayer CAPC1005X06N                  48.7363      26.5113      180      MLCC                                                                                                                                                 0.5500     
C4503_2     100n/50V                   TopLayer CAPC1005X06N                  92.7100      26.5113      180      MLCC                                                                                                                                                 0.5500     
C4504_1     10n/100V                   TopLayer CAPC1608X08N                  51.4350      24.4475      0        MLCC                                                                                                                                                 0.8000     
C4504_2     10n/100V                   TopLayer CAPC1608X08N                  95.4088      24.4475      0        MLCC                                                                                                                                                 0.8000     
C4505_1     100n/50V                   TopLayer CAPC1005X06N                  49.0538      36.3538      0        MLCC                                                                                                                                                 0.5500     
C4505_2     100n/50V                   TopLayer CAPC1005X06N                  93.0275      36.3538      0        MLCC                                                                                                                                                 0.5500     
